transaction_id,branch_id,branch_name,city,transaction_date,amount,status,transaction_type,customer_id,error_message,bank_name,pincode
TXN00003,CHB01,T. Nagar,Chennai,01-05-2024,4761.74,FAILURE,DEPOSIT,6782,Insufficient Funds,SBI BANK,600045
TXN00008,CHB02,Velachery,Chennai,06-05-2024,970.12,FAILURE,WITHDRAWAL,2473,Insufficient Funds,SBI BANK,600045
TXN00011,CHB02,Velachery,Chennai,04-05-2024,584.83,SUCCESS,TRANSFER,5475,,SBI BANK,600045
TXN00013,CHB01,T. Nagar,Chennai,03-05-2024,2120.27,SUCCESS,WITHDRAWAL,7304,,SBI BANK,600045
TXN00014,CHB03,Tambaram,Chennai,06-05-2024,1624.89,FAILURE,WITHDRAWAL,2862,Invalid Account Number,SBI BANK,600045
TXN00028,CHB01,T. Nagar,Chennai,01-05-2024,3074.17,SUCCESS,DEPOSIT,8373,,SBI BANK,600045
TXN00032,CHB03,Tambaram,Chennai,01-05-2024,2000.81,SUCCESS,WITHDRAWAL,3925,,SBI BANK,600045
TXN00033,CHB03,Tambaram,Chennai,07-05-2024,562.06,SUCCESS,WITHDRAWAL,9116,,SBI BANK,600045
TXN00037,CHB02,Velachery,Chennai,05-05-2024,3786.31,FAILURE,WITHDRAWAL,5968,Account Frozen,SBI BANK,600045
TXN00038,CHB03,Tambaram,Chennai,05-05-2024,3016.45,SUCCESS,DEPOSIT,6497,,SBI BANK,600045
TXN00041,CHB02,Velachery,Chennai,03-05-2024,3907.61,SUCCESS,TRANSFER,1303,,SBI BANK,600045
TXN00047,CHB03,Tambaram,Chennai,03-05-2024,4317.52,SUCCESS,WITHDRAWAL,3665,,SBI BANK,600045
TXN00049,CHB01,T. Nagar,Chennai,06-05-2024,2025.86,SUCCESS,WITHDRAWAL,6973,,SBI BANK,600045
TXN00051,CHB03,Tambaram,Chennai,05-05-2024,1080.28,FAILURE,WITHDRAWAL,8708,Insufficient Funds,SBI BANK,600045
TXN00052,CHB03,Tambaram,Chennai,01-05-2024,1882.84,SUCCESS,TRANSFER,4789,,SBI BANK,600045
TXN00054,CHB03,Tambaram,Chennai,07-05-2024,3219.82,SUCCESS,WITHDRAWAL,2731,,SBI BANK,600045
TXN00056,CHB01,T. Nagar,Chennai,07-05-2024,4559.33,SUCCESS,TRANSFER,8121,,SBI BANK,600045
TXN00061,CHB03,Tambaram,Chennai,04-05-2024,1030.87,FAILURE,TRANSFER,1217,Insufficient Funds,SBI BANK,600045
TXN00065,CHB01,T. Nagar,Chennai,06-05-2024,4745.05,SUCCESS,TRANSFER,5438,,SBI BANK,600045
TXN00069,CHB03,Tambaram,Chennai,05-05-2024,1699.2,SUCCESS,WITHDRAWAL,7077,,SBI BANK,600045
TXN00074,CHB02,Velachery,Chennai,04-05-2024,3981.2,FAILURE,DEPOSIT,3817,Invalid Account Number,SBI BANK,600045
TXN00083,CHB03,Tambaram,Chennai,06-05-2024,4242.53,FAILURE,TRANSFER,6384,Insufficient Funds,SBI BANK,600045
TXN00084,CHB03,Tambaram,Chennai,05-05-2024,2862.36,FAILURE,DEPOSIT,4350,Insufficient Funds,SBI BANK,600045
TXN00093,CHB02,Velachery,Chennai,06-05-2024,3269.25,SUCCESS,TRANSFER,7906,,SBI BANK,600045
TXN00094,CHB01,T. Nagar,Chennai,07-05-2024,1299.65,SUCCESS,DEPOSIT,1745,,SBI BANK,600045
TXN00096,CHB03,Tambaram,Chennai,06-05-2024,3509.17,SUCCESS,DEPOSIT,6069,,SBI BANK,600045
TXN00101,CHB01,T. Nagar,Chennai,07-05-2024,4015.05,FAILURE,TRANSFER,6514,Account Frozen,SBI BANK,600045
TXN00107,CHB01,T. Nagar,Chennai,01-05-2024,3790.12,SUCCESS,DEPOSIT,2936,,SBI BANK,600045
TXN00113,CHB02,Velachery,Chennai,07-05-2024,3786.69,FAILURE,WITHDRAWAL,1093,Invalid Account Number,SBI BANK,600045
TXN00116,CHB02,Velachery,Chennai,03-05-2024,2979.09,SUCCESS,DEPOSIT,7680,,SBI BANK,600045
TXN00118,CHB02,Velachery,Chennai,02-05-2024,2472.36,SUCCESS,WITHDRAWAL,2534,,SBI BANK,600045
TXN00120,CHB03,Tambaram,Chennai,05-05-2024,578.93,FAILURE,WITHDRAWAL,2786,Insufficient Funds,SBI BANK,600045
TXN00122,CHB03,Tambaram,Chennai,05-05-2024,2164.49,SUCCESS,WITHDRAWAL,4797,,SBI BANK,600045
TXN00125,CHB02,Velachery,Chennai,04-05-2024,2901.24,SUCCESS,TRANSFER,5754,,SBI BANK,600045
TXN00127,CHB02,Velachery,Chennai,03-05-2024,3910.34,SUCCESS,TRANSFER,9814,,SBI BANK,600045
TXN00131,CHB01,T. Nagar,Chennai,06-05-2024,2575.07,SUCCESS,DEPOSIT,8787,,SBI BANK,600045
TXN00132,CHB02,Velachery,Chennai,04-05-2024,1297.05,FAILURE,WITHDRAWAL,8722,Invalid Account Number,SBI BANK,600045
TXN00133,CHB01,T. Nagar,Chennai,04-05-2024,4474.75,FAILURE,DEPOSIT,9006,Account Frozen,SBI BANK,600045
TXN00134,CHB01,T. Nagar,Chennai,02-05-2024,2714.66,SUCCESS,DEPOSIT,9715,,SBI BANK,600045
TXN00138,CHB01,T. Nagar,Chennai,02-05-2024,3519.39,SUCCESS,TRANSFER,9842,,SBI BANK,600045
TXN00139,CHB02,Velachery,Chennai,01-05-2024,2691.84,SUCCESS,WITHDRAWAL,6239,,SBI BANK,600045
TXN00141,CHB02,Velachery,Chennai,07-05-2024,3963.81,SUCCESS,WITHDRAWAL,6225,,SBI BANK,600045
TXN00143,CHB03,Tambaram,Chennai,07-05-2024,1175.78,FAILURE,TRANSFER,4113,Invalid Account Number,SBI BANK,600045
TXN00144,CHB03,Tambaram,Chennai,06-05-2024,3820.49,FAILURE,TRANSFER,6894,Account Frozen,SBI BANK,600045
