transaction_id,branch_id,branch_name,city,transaction_date,amount,status,transaction_type,customer_id,error_message,bank_name,pincode
TXN00126,HYB02,Madhapur,Hyderabad,01-05-2024,2332.67,FAILURE,DEPOSIT,8002,Invalid Account Number,SBI BANK,625002
TXN00129,HYB01,SR Nagar,Hyderabad,07-05-2024,4573.13,FAILURE,WITHDRAWAL,2560,Invalid Account Number,SBI BANK,625002
TXN00130,HYB01,SR Nagar,Hyderabad,01-05-2024,727.11,SUCCESS,TRANSFER,9741,,SBI BANK,625002
TXN00136,HYB03,Begumpet,Hyderabad,02-05-2024,775.37,FAILURE,DEPOSIT,8215,Insufficient Funds,SBI BANK,625002
TXN00137,HYB03,Begumpet,Hyderabad,02-05-2024,3504.81,FAILURE,WITHDRAWAL,6775,Insufficient Funds,SBI BANK,625002
TXN00140,HYB01,SR Nagar,Hyderabad,05-05-2024,4657.97,SUCCESS,DEPOSIT,3707,,SBI BANK,625002
TXN00142,HYB01,SR Nagar,Hyderabad,03-05-2024,2608.5,SUCCESS,TRANSFER,3207,,SBI BANK,625002
TXN00145,HYB03,Begumpet,Hyderabad,01-05-2024,1182.24,SUCCESS,DEPOSIT,2383,,SBI BANK,625002
TXN00146,HYB02,Madhapur,Hyderabad,05-05-2024,617.56,SUCCESS,DEPOSIT,7958,,SBI BANK,625002
TXN00147,HYB03,Begumpet,Hyderabad,03-05-2024,4442.55,FAILURE,TRANSFER,7527,Insufficient Funds,SBI BANK,625002
TXN00148,HYB01,SR Nagar,Hyderabad,05-05-2024,3593.03,SUCCESS,DEPOSIT,2685,,SBI BANK,625002
TXN00151,HYB02,Madhapur,Hyderabad,06-05-2024,3539.76,FAILURE,DEPOSIT,9313,Account Frozen,SBI BANK,625002
TXN00154,HYB03,Begumpet,Hyderabad,07-05-2024,2818.92,SUCCESS,WITHDRAWAL,6448,,SBI BANK,625002
TXN00155,HYB02,Madhapur,Hyderabad,07-05-2024,824.99,FAILURE,WITHDRAWAL,2913,Account Frozen,SBI BANK,625002
TXN00157,HYB03,Begumpet,Hyderabad,06-05-2024,1209.05,SUCCESS,WITHDRAWAL,5922,,SBI BANK,625002
TXN00162,HYB01,SR Nagar,Hyderabad,07-05-2024,802.42,SUCCESS,WITHDRAWAL,3024,,SBI BANK,625002
TXN00166,HYB01,SR Nagar,Hyderabad,01-05-2024,2523.99,SUCCESS,DEPOSIT,7784,,SBI BANK,625002
TXN00169,HYB01,SR Nagar,Hyderabad,04-05-2024,3315.13,FAILURE,DEPOSIT,1485,Invalid Account Number,SBI BANK,625002
TXN00172,HYB03,Begumpet,Hyderabad,04-05-2024,1699.32,SUCCESS,TRANSFER,6868,,SBI BANK,625002
TXN00173,HYB02,Madhapur,Hyderabad,07-05-2024,665.88,FAILURE,WITHDRAWAL,8748,Insufficient Funds,SBI BANK,625002
TXN00174,HYB02,Madhapur,Hyderabad,04-05-2024,4661.27,FAILURE,DEPOSIT,8803,Account Frozen,SBI BANK,625002
