transaction_id,branch_id,branch_name,city,transaction_date,amount,status,transaction_type,customer_id,error_message,bank_name,pincode
TXN00415,WRB02,Kazipet,Warangal,02-05-2024,3056.04,SUCCESS,WITHDRAWAL,3731,,SBI BANK,636003
TXN00417,WRB02,Kazipet,Warangal,07-05-2024,1802.98,SUCCESS,DEPOSIT,8838,,SBI BANK,636003
TXN00418,WRB02,Kazipet,Warangal,05-05-2024,2233.86,SUCCESS,TRANSFER,2010,,SBI BANK,636003
TXN00422,WRB03,Dharmaram,Warangal,06-05-2024,776.46,SUCCESS,DEPOSIT,2461,,SBI BANK,636003
TXN00425,WRB01,Hanamkonda,Warangal,02-05-2024,4402.96,SUCCESS,DEPOSIT,2056,,SBI BANK,636003
TXN00427,WRB03,Dharmaram,Warangal,07-05-2024,1763.39,SUCCESS,WITHDRAWAL,5763,,SBI BANK,636003
TXN00428,WRB01,Hanamkonda,Warangal,01-05-2024,2182.85,FAILURE,WITHDRAWAL,2467,Invalid Account Number,SBI BANK,636003
TXN00433,WRB03,Dharmaram,Warangal,07-05-2024,1500.88,SUCCESS,DEPOSIT,2359,,SBI BANK,636003
TXN00444,WRB01,Hanamkonda,Warangal,02-05-2024,2430.66,SUCCESS,WITHDRAWAL,2181,,SBI BANK,636003
TXN00452,WRB02,Kazipet,Warangal,05-05-2024,2917.78,FAILURE,DEPOSIT,3667,Account Frozen,SBI BANK,636003
TXN00457,WRB01,Hanamkonda,Warangal,02-05-2024,3873.51,SUCCESS,TRANSFER,4825,,SBI BANK,636003
TXN00462,WRB02,Kazipet,Warangal,07-05-2024,4185.9,SUCCESS,TRANSFER,4635,,SBI BANK,636003
TXN00463,WRB03,Dharmaram,Warangal,07-05-2024,4628.11,SUCCESS,WITHDRAWAL,9584,,SBI BANK,636003
TXN00470,WRB01,Hanamkonda,Warangal,05-05-2024,1202.03,SUCCESS,WITHDRAWAL,2758,,SBI BANK,636003
