transaction_id,branch_id,branch_name,city,transaction_date,amount,status,transaction_type,customer_id,error_message,bank_name,pincode
TXN00361,HYB03,Begumpet,Hyderabad,06-05-2024,4722.31,SUCCESS,TRANSFER,3559,"",SBI BANK,625002
TXN00059,HYB01,SR Nagar,Hyderabad,05-05-2024,725.69,SUCCESS,DEPOSIT,6984,"",SBI BANK,625002
TXN00180,CHB03,Tambaram,Chennai,04-05-2024,3316.36,FAILURE,WITHDRAWAL,2633,Account Frozen,SBI BANK,600045
TXN00370,HYB03,Begumpet,Hyderabad,03-05-2024,2200.2,SUCCESS,TRANSFER,9459,"",SBI BANK,625002
TXN00688,CHB02,Velachery,Chennai,01-05-2024,2477.55,SUCCESS,TRANSFER,2785,"",SBI BANK,600045
TXN00500,CHB03,Tambaram,Chennai,05-05-2024,3592.34,SUCCESS,TRANSFER,1896,"",SBI BANK,600045
TXN00310,HYB03,Begumpet,Hyderabad,04-05-2024,3083.8,SUCCESS,DEPOSIT,8767,"",SBI BANK,625002
TXN00399,CHB03,Tambaram,Chennai,06-05-2024,4923.98,SUCCESS,TRANSFER,4952,"",SBI BANK,600045
TXN00510,CHB02,Velachery,Chennai,01-05-2024,3670.56,FAILURE,DEPOSIT,9849,Insufficient Funds,SBI BANK,600045
TXN00171,CHB02,Velachery,Chennai,03-05-2024,3565.68,FAILURE,TRANSFER,4982,Invalid Account Number,SBI BANK,600045
TXN00622,CHB01,T. Nagar,Chennai,07-05-2024,1550.01,SUCCESS,TRANSFER,6499,"",SBI BANK,600045
TXN00699,CHB03,Tambaram,Chennai,06-05-2024,4769.82,SUCCESS,DEPOSIT,6451,"",SBI BANK,600045
TXN00494,CHB01,T. Nagar,Chennai,07-05-2024,665.25,SUCCESS,DEPOSIT,2227,"",SBI BANK,600045
TXN00287,HYB01,SR Nagar,Hyderabad,04-05-2024,1662.37,SUCCESS,DEPOSIT,4812,"",SBI BANK,625002
TXN00026,HYB02,Madhapur,Hyderabad,05-05-2024,4067.89,SUCCESS,TRANSFER,7645,"",SBI BANK,625002
TXN00588,CHB02,Velachery,Chennai,04-05-2024,2239.57,SUCCESS,DEPOSIT,4103,"",SBI BANK,600045
TXN00693,CHB03,Tambaram,Chennai,02-05-2024,3488.16,SUCCESS,TRANSFER,3952,"",SBI BANK,600045
TXN00069,CHB03,Tambaram,Chennai,05-05-2024,1699.2,SUCCESS,WITHDRAWAL,7077,"",SBI BANK,600045
TXN00328,CHB01,T. Nagar,Chennai,04-05-2024,2428.79,SUCCESS,WITHDRAWAL,2300,"",SBI BANK,600045
TXN00469,CHB01,T. Nagar,Chennai,03-05-2024,4865.91,FAILURE,DEPOSIT,5595,Account Frozen,SBI BANK,600045
TXN00023,HYB01,SR Nagar,Hyderabad,04-05-2024,1579.1,SUCCESS,DEPOSIT,3956,"",SBI BANK,625002
TXN00296,CHB03,Tambaram,Chennai,02-05-2024,4586.54,SUCCESS,TRANSFER,4630,"",SBI BANK,600045
TXN00334,CHB02,Velachery,Chennai,05-05-2024,3115.01,SUCCESS,DEPOSIT,3803,"",SBI BANK,600045
TXN00593,CHB01,T. Nagar,Chennai,04-05-2024,3470.73,SUCCESS,DEPOSIT,5951,"",SBI BANK,600045
TXN00546,CHB02,Velachery,Chennai,06-05-2024,2943.46,SUCCESS,TRANSFER,1807,"",SBI BANK,600045
TXN00327,HYB03,Begumpet,Hyderabad,06-05-2024,3195.98,SUCCESS,WITHDRAWAL,8463,"",SBI BANK,625002
TXN00630,CHB01,T. Nagar,Chennai,06-05-2024,1340.34,SUCCESS,WITHDRAWAL,3320,"",SBI BANK,600045
TXN00340,HYB02,Madhapur,Hyderabad,04-05-2024,3786.82,SUCCESS,WITHDRAWAL,4597,"",SBI BANK,625002
TXN00547,CHB01,T. Nagar,Chennai,02-05-2024,4027.49,SUCCESS,TRANSFER,3286,"",SBI BANK,600045
TXN00305,HYB03,Begumpet,Hyderabad,01-05-2024,4586.96,SUCCESS,DEPOSIT,7129,"",SBI BANK,625002
TXN00474,CHB03,Tambaram,Chennai,03-05-2024,2582.4,SUCCESS,DEPOSIT,8468,"",SBI BANK,600045
TXN00024,HYB01,SR Nagar,Hyderabad,04-05-2024,1375.87,FAILURE,TRANSFER,2986,Invalid Account Number,SBI BANK,625002
TXN00351,CHB03,Tambaram,Chennai,06-05-2024,1257.1,SUCCESS,DEPOSIT,9058,"",SBI BANK,600045
TXN00394,CHB01,T. Nagar,Chennai,01-05-2024,4028.86,SUCCESS,WITHDRAWAL,3058,"",SBI BANK,600045
TXN00223,CHB03,Tambaram,Chennai,07-05-2024,2868.61,FAILURE,WITHDRAWAL,8386,Insufficient Funds,SBI BANK,600045
TXN00163,CHB02,Velachery,Chennai,01-05-2024,2031.38,FAILURE,DEPOSIT,7508,Invalid Account Number,SBI BANK,600045
TXN00011,CHB02,Velachery,Chennai,04-05-2024,584.83,SUCCESS,TRANSFER,5475,"",SBI BANK,600045
TXN00193,CHB03,Tambaram,Chennai,03-05-2024,4817.42,SUCCESS,TRANSFER,2903,"",SBI BANK,600045
TXN00001,HYB03,Begumpet,Hyderabad,04-05-2024,2899.79,SUCCESS,WITHDRAWAL,6320,"",SBI BANK,625002
TXN00438,CHB01,T. Nagar,Chennai,01-05-2024,2755.6,FAILURE,TRANSFER,9155,Account Frozen,SBI BANK,600045
TXN00097,HYB01,SR Nagar,Hyderabad,02-05-2024,4425.63,FAILURE,TRANSFER,2205,Account Frozen,SBI BANK,625002
TXN00623,CHB03,Tambaram,Chennai,05-05-2024,3044.94,SUCCESS,WITHDRAWAL,5709,"",SBI BANK,600045
TXN00356,CHB03,Tambaram,Chennai,06-05-2024,3342.13,FAILURE,WITHDRAWAL,1768,Insufficient Funds,SBI BANK,600045
TXN00479,CHB01,T. Nagar,Chennai,02-05-2024,3731.39,FAILURE,WITHDRAWAL,6155,Account Frozen,SBI BANK,600045
TXN00536,CHB02,Velachery,Chennai,02-05-2024,3908.33,SUCCESS,WITHDRAWAL,6664,"",SBI BANK,600045
TXN00271,CHB01,T. Nagar,Chennai,03-05-2024,3067.94,SUCCESS,DEPOSIT,3355,"",SBI BANK,600045
