transaction_id,branch_id,branch_name,city,transaction_date,amount,status,transaction_type,customer_id,error_message,bank_name,pincode
TXN00180,CHB03,Tambaram,Chennai,04-05-2024,3316.36,FAILURE,WITHDRAWAL,2633,Account Frozen,SBI BANK,600045
TXN00510,CHB02,Velachery,Chennai,01-05-2024,3670.56,FAILURE,DEPOSIT,9849,Insufficient Funds,SBI BANK,600045
TXN00171,CHB02,Velachery,Chennai,03-05-2024,3565.68,FAILURE,TRANSFER,4982,Invalid Account Number,SBI BANK,600045
TXN00469,CHB01,T. Nagar,Chennai,03-05-2024,4865.91,FAILURE,DEPOSIT,5595,Account Frozen,SBI BANK,600045
TXN00024,HYB01,SR Nagar,Hyderabad,04-05-2024,1375.87,FAILURE,TRANSFER,2986,Invalid Account Number,SBI BANK,625002
TXN00223,CHB03,Tambaram,Chennai,07-05-2024,2868.61,FAILURE,WITHDRAWAL,8386,Insufficient Funds,SBI BANK,600045
TXN00163,CHB02,Velachery,Chennai,01-05-2024,2031.38,FAILURE,DEPOSIT,7508,Invalid Account Number,SBI BANK,600045
TXN00438,CHB01,T. Nagar,Chennai,01-05-2024,2755.6,FAILURE,TRANSFER,9155,Account Frozen,SBI BANK,600045
TXN00097,HYB01,SR Nagar,Hyderabad,02-05-2024,4425.63,FAILURE,TRANSFER,2205,Account Frozen,SBI BANK,625002
TXN00356,CHB03,Tambaram,Chennai,06-05-2024,3342.13,FAILURE,WITHDRAWAL,1768,Insufficient Funds,SBI BANK,600045
TXN00479,CHB01,T. Nagar,Chennai,02-05-2024,3731.39,FAILURE,WITHDRAWAL,6155,Account Frozen,SBI BANK,600045
TXN00319,HYB01,SR Nagar,Hyderabad,07-05-2024,1733.83,FAILURE,DEPOSIT,6564,Account Frozen,SBI BANK,625002
TXN00257,HYB02,Madhapur,Hyderabad,04-05-2024,3669.07,FAILURE,TRANSFER,1592,Insufficient Funds,SBI BANK,625002
TXN00076,HYB02,Madhapur,Hyderabad,01-05-2024,1964.76,FAILURE,DEPOSIT,8027,Account Frozen,SBI BANK,625002
TXN00675,CHB03,Tambaram,Chennai,05-05-2024,2462.92,FAILURE,WITHDRAWAL,5751,Account Frozen,SBI BANK,600045
TXN00367,CHB02,Velachery,Chennai,03-05-2024,1903.02,FAILURE,TRANSFER,9445,Invalid Account Number,SBI BANK,600045
TXN00389,CHB01,T. Nagar,Chennai,03-05-2024,698.76,FAILURE,DEPOSIT,1581,Account Frozen,SBI BANK,600045
TXN00484,CHB01,T. Nagar,Chennai,04-05-2024,871.83,FAILURE,DEPOSIT,6900,Insufficient Funds,SBI BANK,600045
TXN00133,CHB01,T. Nagar,Chennai,04-05-2024,4474.75,FAILURE,DEPOSIT,9006,Account Frozen,SBI BANK,600045
TXN00335,CHB01,T. Nagar,Chennai,06-05-2024,4515.2,FAILURE,WITHDRAWAL,1922,Insufficient Funds,SBI BANK,600045
TXN00654,CHB03,Tambaram,Chennai,04-05-2024,2808.49,FAILURE,DEPOSIT,5049,Insufficient Funds,SBI BANK,600045
TXN00308,CHB03,Tambaram,Chennai,05-05-2024,4462.24,FAILURE,WITHDRAWAL,4575,Invalid Account Number,SBI BANK,600045
TXN00113,CHB02,Velachery,Chennai,07-05-2024,3786.69,FAILURE,WITHDRAWAL,1093,Invalid Account Number,SBI BANK,600045
TXN00288,HYB02,Madhapur,Hyderabad,04-05-2024,3636.01,FAILURE,TRANSFER,3905,Account Frozen,SBI BANK,625002
TXN00261,CHB02,Velachery,Chennai,07-05-2024,3832.73,FAILURE,DEPOSIT,4923,Invalid Account Number,SBI BANK,600045
TXN00666,CHB03,Tambaram,Chennai,03-05-2024,1129.89,FAILURE,DEPOSIT,8449,Insufficient Funds,SBI BANK,600045
TXN00664,CHB01,T. Nagar,Chennai,02-05-2024,3003.55,FAILURE,DEPOSIT,9098,Invalid Account Number,SBI BANK,600045
TXN00279,HYB02,Madhapur,Hyderabad,07-05-2024,3360.45,FAILURE,TRANSFER,8915,Account Frozen,SBI BANK,625002
TXN00034,HYB03,Begumpet,Hyderabad,01-05-2024,1744.05,FAILURE,TRANSFER,4596,Insufficient Funds,SBI BANK,625002
TXN00083,CHB03,Tambaram,Chennai,06-05-2024,4242.53,FAILURE,TRANSFER,6384,Insufficient Funds,SBI BANK,600045
TXN00144,CHB03,Tambaram,Chennai,06-05-2024,3820.49,FAILURE,TRANSFER,6894,Account Frozen,SBI BANK,600045
TXN00665,CHB03,Tambaram,Chennai,04-05-2024,1210.8,FAILURE,DEPOSIT,6709,Account Frozen,SBI BANK,600045
TXN00008,CHB02,Velachery,Chennai,06-05-2024,970.12,FAILURE,WITHDRAWAL,2473,Insufficient Funds,SBI BANK,600045
TXN00410,CHB03,Tambaram,Chennai,03-05-2024,3870.58,FAILURE,WITHDRAWAL,8799,Insufficient Funds,SBI BANK,600045
